Tip Matrice,Tip alocare,Nr threads,Timp executie
"N=M=10
n=m=3",static,secvential,0.00171
,,4,1.22731
,,4,1.23725
,,4,1.38386
,dinamic,secvential,0.00469
,,4,1.17259
,,4,1.08817
,,4,1.1941
"N=M=1000
n=m=5",static,secvential,14.23703
,,2,8.64433
,,2,8.32642
,,2,10.38131
,,4,6.50551
,,4,5.99988
,,4,7.15503
,,8,6.33399
,,8,6.50719
,,8,6.85051
,,16,5.82555
,,16,6.99218
,,16,6.74467
,dinamic,secvential,43.99917
,,2,26.58398
,,2,26.79377
,,2,23.92913
,,4,17.01399
,,4,16.34476
,,4,14.73525
,,8,13.51047
,,8,14.66905
,,8,12.49624
,,16,13.61317
,,16,12.75335
,,16,10.93534
"N=10, M=10000",static,secvential,4.99764
,,2,3.69107
,,2,3.67745
,,2,3.64344
,,4,3.21313
,,4,2.81027
,,4,2.93966
,,8,3.20742
,,8,3.10248
,,8,3.33083
,,16,3.57186
,,16,3.61576
,,16,4.05788
,dinamic,secvential,16.28244
,,2,9.91692
,,2,9.31225
,,2,10.64808
,,4,6.35902
,,4,5.85692
,,4,6.23645
,,8,5.73663
,,8,5.68892
,,8,6.07149
,,16,6.43407
,,16,5.80552
,,16,6.36061
"N=10000, M=10",static,secvential,4.90533
,,2,3.51535
,,2,3.62022
,,2,3.59658
,,4,2.89296
,,4,3.02223
,,4,3.33705
,,8,3.10679
,,8,3.05131
,,8,3.61413
,,16,4.12178
,,16,3.9581
,,16,4.58906
,dinamic,secvential,16.59085
,,2,9.04418
,,2,9.54169
,,2,10.80017
,,4,6.02789
,,4,7.02787
,,4,8.25769
,,8,5.57122
,,8,6.54861
,,8,6.83018
,,16,5.97142
,,16,6.64493
,,16,6.34036
